"","file_name","cen_x","cen_y","zoom"
"210","../r03/Track 201",38.85680165,-94.63183435,17
"211","../r03/Track 202",38.8379372,-94.65767275,18
"212","../r03/Track 203",38.8637161,-94.63163005,15
"213","../r03/Track 204",38.8578974,-94.63154785,16
"214","../r03/Track 205",38.8567277,-94.63178605,17
"215","../r03/Track 206",38.8609034,-94.62717305,16
"216","../r03/Track 207",38.85683285,-94.6317148,17
"217","../r03/Track 208",38.86063345,-94.63180415,17
"218","../r03/Track 209",39.4994799,-76.6622931,16
"219","../r03/Track 210",38.85907575,-94.63176285,16
"220","../r03/Track 211",38.86081995,-94.62718595,16
"221","../r03/Track 212",38.85337335,-94.63180475,15
"222","../r03/Track 213",38.9688239,-94.603507,15
"223","../r03/Track 214",38.8579235,-94.63180125,16
"224","../r03/Track 215",38.8636021,-94.63159515,15
"225","../r03/Track 216",38.8567945,-94.63176455,17
"226","../r03/Track 217",38.86084955,-94.62714895,16
"227","../r03/Track 218",38.8608611,-94.62857835,16
"228","../r03/Track 219",38.86356865,-94.63165285,15
"229","../r03/Track 220",38.8681922,-94.63165935,15
"230","../r03/Track 221",38.857836,-94.63168905,16
"231","../r03/Track 222",38.85677705,-94.63171515,17
"232","../r03/Track 223",38.8608648,-94.62858005,16
"233","../r03/Track 224",38.8579006,-94.63171565,16
"234","../r03/Track 225",38.85901035,-94.63188035,16
"235","../r03/Track 226",42.34709795,-71.03349245,15
"236","../r03/Track 227",42.35415605,-71.0603409,15
"237","../r03/Track 228",42.3545582,-71.047078,16
"238","../r03/Track 229",38.85792945,-94.63177615,16
"239","../r03/Track 230",38.8590823,-94.6318458,16
"240","../r03/Track 231",38.86362795,-94.63161165,15
"241","../r03/Track 232",38.8567895,-94.63176915,17
"242","../r03/Track 233",38.8579609,-94.6317098,16
"243","../r03/Track 234",38.86084335,-94.6272032,16
"244","../r03/Track 235",38.92726485,-94.6234986,16
"245","../r03/Track 236",38.8608551,-94.62849105,16
"246","../r03/Track 237",38.8687742,-94.63967775,15
"247","../r03/Track 238",38.8608227,-94.62856085,16
"248","../r03/Track 239",38.8608344,-94.62719885,16
"249","../r03/Track 240",38.8579648,-94.6317473,16
"250","../r03/Track 241",39.038285,-94.58304245,14
"251","../r03/Track 242",38.86077735,-94.62846955,16
"252","../r03/Track 243",38.8800217,-94.63943385,15
"253","../r03/Track 244",38.8568335,-94.6317535,17
"254","../r03/Track 245",38.86255035,-94.62715275,16
"255","../r03/Track 246",38.86880105,-94.6397773,15
"256","../r03/Track 247",38.86366425,-94.63167445,15
"257","../r03/Track 248",38.85690205,-94.63173665,17
"258","../r03/Track 249",39.0045724,-94.52998885,15
"259","../r03/Track 250",38.85798675,-94.6317131,16
"260","../r03/Track 251",38.8608561,-94.6315092,17
"261","../r03/Track 252",38.8605498,-94.6317658,17
"262","../r03/Track 253",38.86055025,-94.62708945,16
"263","../r03/Track 254",38.8589145,-94.6317765,16
"264","../r03/Track 255",38.8605821,-94.62848185,16
"265","../r03/Track 256",36.5735382,-93.6414707,16
"266","../r03/Track 257",38.85789245,-94.63173115,16
"267","../r03/Track 258",38.86057955,-94.6271534,16
"268","../r03/Track 259",38.85680125,-94.63175265,17
"269","../r03/Track 260",38.860569,-94.6285338,16
"270","../r03/Track 261",38.8687709,-94.63975625,15
"271","../r03/Track 262",38.8589268,-94.63176535,16
"272","../r03/Track 263",38.86362645,-94.63166745,15
"273","../r03/Track 264",38.86066435,-94.6271633,16
"274","../r03/Track 265",38.8605672,-94.6285285,16
"275","../r03/Track 266",38.91961215,-94.65710025,15
"276","../r03/Track 267",38.86060665,-94.62860315,16
"277","../r03/Track 268",38.8605398,-94.62856305,16
"278","../r03/Track 269",38.8605694,-94.62716205,16
"279","../r03/Track 270",38.8568576,-94.6317987,17
"280","../r03/Track 271",38.86054805,-94.628585,16
"281","../r03/Track 272",38.8606155,-94.6271864,16
"282","../r03/Track 273",38.85674195,-94.63175875,17
"283","../r03/Track 274",38.860615,-94.6271728,16
"284","../r03/Track 275",38.8605878,-94.6285301,16
"285","../r03/Track 276",38.86060205,-94.6284598,16
"286","../r03/Track 277",38.85887905,-94.63168575,16
"287","../r03/Track 278",38.8578599,-94.6317611,16
"288","../r03/Track 279",38.876444,-94.6629434,15
"289","../r03/Track 280",38.8636753,-94.63166025,15
"290","../r03/Track 281",38.85674935,-94.6317437,17
"291","../r03/Track 282",38.86057875,-94.62854825,16
"292","../r03/Track 283",38.85675485,-94.63169455,17
"293","../r03/Track 285",38.86062915,-94.62718655,16
"294","../r03/Track 286",38.8589663,-94.63173065,16
"295","../r03/Track 287",38.85787245,-94.6316012,16
"296","../r03/Track 288",38.85682465,-94.63162175,17
"297","../r03/Track 289",38.860627,-94.62850915,16
"298","../r03/Track 290",38.86361965,-94.63159605,15
"299","../r03/Track 291",33.5705546,-111.9216769,16
"300","../r03/Track 292",33.56788875,-111.9013123,14
"301","../r03/Track 293",33.56725825,-111.91988905,17
"302","../r03/Track 294",29.9514803,-90.0617191,15
"303","../r03/Track 295",29.95427345,-90.0616473,16
"304","../r03/Track 296",38.86059635,-94.62723905,16
"305","../r03/Track 297",38.86064895,-94.62856515,16
"306","../r03/Track 298",29.43002335,-98.48885615,16
"307","../r03/Track 299",29.43203985,-98.48664785,15
"308","../r03/Track 300",29.4369565,-98.48443415,15
"309","../r03/Track 301",35.2271299,-97.49009885,15
"310","../r03/Track 302",38.8605573,-94.6285655,16
"311","../r03/Track 303",38.8604363,-94.62703455,16
"312","../r03/Track 304",38.8605964,-94.62858975,16
"313","../r03/Track 305",38.85681715,-94.63172685,17
"314","../r03/Track 306",38.8606099,-94.62716195,16
"315","../r03/Track 307",38.8532884,-94.63169085,15
"316","../r03/Track 308",38.8605984,-94.62715,16
"317","../r03/Track 309",38.8588878,-94.6317619,16
"318","../r03/Track 310",38.8605987,-94.62848155,16
"319","../r03/Track 311",38.86057265,-94.62849975,16
"320","../r03/Track 312",38.8578826,-94.6317683,16
"321","../r03/Track 313",38.85888055,-94.6317659,16
"322","../r03/Track 314",38.8568828,-94.63176965,17
"323","../r03/Track 315",38.8579737,-94.63178035,16
"324","../r03/Track 316",38.86057985,-94.6284559,16
"325","../r03/Track 317",38.8606288,-94.62844625,16
"326","../r03/Track 318",38.8625919,-94.6271664,16
"327","../r03/Track 319",38.8606379,-94.6285071,16
"328","../r03/Track 320",38.92028505,-94.6313833,15
"329","../r03/Track 321",38.8605776,-94.62855305,16
"330","../r03/Track 322",38.86367255,-94.6316573,15
"331","../r03/Track 323",38.86874885,-94.63963335,15
"332","../r03/Track 324",38.85893415,-94.63173095,16
"333","../r03/Track 325",38.86355575,-94.6316769,15
"334","../r03/Track 326",38.96885515,-94.60342445,15
"335","../r03/Track 327",38.86363965,-94.63161315,15
"336","../r03/Track 328",38.86057155,-94.6271958,16
"337","../r03/Track 329",38.86057985,-94.627182,16
"338","../r03/Track 330",38.86371655,-94.6285396,15
"339","../r03/Track 331",38.85797615,-94.63172745,16
"340","../r03/Track 332",38.8634913,-94.63164615,16
"341","../r03/Track 333",38.9351331,-94.64406475,15
"342","../r03/Track 334",38.9329475,-94.63181615,15
"343","../r03/Track 335",38.8635769,-94.6316925,15
"344","../r03/Track 336",38.86061455,-94.62848115,16
"345","../r03/Track 337",38.8626015,-94.62858055,16
"346","../r03/Track 338",38.8681976,-94.63170365,15
"347","../r03/Track 339",38.86623415,-94.62881465,15
"348","../r03/Track 340",38.8588927,-94.6317607,16
"349","../r03/Track 341",38.86055035,-94.62720845,16
