"","ilog","rname","rtype","day","cdst","tim","lat","lon","zoom","ext","nt"
"a20151119","583","double","Mission","20151119","5129","2433","38.86056615","-94.62715895","15","39.5","57F and sunny. No dog per vets advice. Alternated fast/slow minutes. New shoes starting to break in."
"a20151121","584","church2","Mission","20151121","6437","3343","38.8696317","-94.63972505","13","42.6","33F and blustery. New shoes slowly getting better. Slow steady pace."
"a20151125","585","r143","Mission","20151125","2811","1292","38.86361955","-94.6317079","14","39.6","54F, night run. Sore left heel and right knee during warmup. Steady fast pace."
"a20151126","586","Sprint5K","Timed5K","20151126","5073","2296","38.92059785","-94.65554635","14","37.7","61F and drizzle. Sore calves at start, very sore right back thigh at 3K. Coasted last 2K. 38:19.9."
"a20151128","587","mini","Mission","20151128","3123","1609","38.8605547","-94.628632","15","44.2","32F and rainy. No ice. Aches everywhere, biggest was left back thigh."
"a20151202","588","bell","Mission","20151202","2845","1456","38.85327415","-94.6317648","14","44.1","34F, clouds, light wind. Minor left heel ache only problem. Tried running fast up, slow down."
"a20151204","589","mediumx","Mission","20151204","1896","898","38.86061355","-94.62710725","15","41.8","55F and sunny. Both heels sore during warmup. Alternated fast/slow. Back left thigh cramp."
"a20151206","590","medium","Mission","20151206","3656","2229","38.86049885","-94.6271814","15","51.8","54F and sunny. Sore back left thigh during warmup. Sore calves late. Very slow pace."
"a20151208","591","short","Mission","20151208","3186","1790","38.86057285","-94.62858265","15","48.1","55F, cloudy, light wind. Right knee and ankle twinges during warmup. Sore back left thigh."
"a20151210","592","short","Mission","20151210","3315","1722","38.86059405","-94.6285518","15","44.4","57F, sunny, light wind. Sore muscles above and below both knees. Back left calf hurts a bit less."
"a20151212","593","medium","Mission","20151212","3724","1868","38.86058165","-94.6271525","15","42.5","46F, cloudy, no wind. Right ankle pain during warmup. Only very minor muscle aches."
"a20151215","594","mini","Mission","20151215","3039","1444","38.8605945","-94.62852595","15","40.8","54F, sunny, light wind. Minor aches everywhere but nothing major."
"a20151219","595","medium","Mission","20151219","3726","1745","38.86057905","-94.6271786","15","39.7","36F,sunny, no wind. No gloves needed. Sore calves at 2.5K, but no joint pain."
"a20151221","596","short","Mission","20151221","3263","1660","38.8605829","-94.628581","15","43.5","36F, cloudy, light wind. Long sleeve shirt, shorts, no gloves. Left back thigh sore at 5 minutes."
"a20151225","597","big","Mission","20151225","4584","2189","38.86055855","-94.62724785","15","40","37F, sunny, no wind. Took off gloves at 13 min. No notable aches or pains."
"a20151227","598","short","Mission","20151227","3257","1706","38.8606351","-94.6285846","15","44.8","No notes."
"a20160101","599","NewYear5K","Timed5K","20160101","5113","2291","38.87645995","-94.66286695","14","37.3","27F, light wind, sunny. Untied shoe at 16 minutes. No major aches or pains."
"a20160105","600","r143","Mission","20160105","2826","1454","38.8636464","-94.63178505","14","44.4","21F, sunny, but windy, especially on return. Calf aches at 6 and 11 minutes."
"a20160109","601","church2","Mission","20160109","6468","3108","38.86965565","-94.63974445","13","39.4","23F, cloudy, cold NW wind. Numb right toes at 30 minutes. No aches or pains."
"a20160115","602","short","Mission","20160115","3260","1618","38.86055065","-94.62851285","15","42.4","30F and windy. One layer, took off gloves at 12 minutes. Sore right foot during warmup."
"a20160129","603","medium","Mission","20160129","3619","1688","38.86060185","-94.62718115","15","39.6","57F and sunny. Fast and steady for first 2K, then slower. Left heel pain at 2K"
"a20160201","604","r143","Mission","20160201","2892","1304","38.86356245","-94.6317597","14","38.8","39F, cloudy, calm. Running jacket and shorts. No aches or joint pains."
"a20160206","605","church2","Mission","20160206","6451","3087","38.86967215","-94.63975715","13","39.3","34F, sunny, calm. Alternated fast/slow minutes. Gloves until 11 minutes. No pains."
"a20160216","606","r143","Mission","20160216","2784","1351","38.86364255","-94.63172115","14","41.9","45F, breezy, morning sun. Running jacket and pants. Sore muscles at 5 min."
"a20160219","607","SanDiego-3","Outside","20160219","4834","2231","32.70910925","-117.1661747","14","38.5","63F, light wind, after sunset. Tight right toes at 32 min. No major aches or pains."
"a20160221","608","SanDiego-4","Outside","20160221","1746","725","32.7200813","-117.1733638","15","36.9","63F, calm evening. Sore muscles at start. Untied shoe at 6 min."
"a20160302","609","short","Mission","20160302","3218","1687","38.8605409","-94.6285347","15","44.9","48F, sunny, windy. Sinus pain during warmup. Stopped for ambulance at 25 minutes."
"a20160304","610","mini","Mission","20160304","3119","1512","38.8606251","-94.628499","15","41.6","55F, sunny, light wind. New shoes. Sore ankles during warmup."
"a20160306","611","r143","Mission","20160306","2831","1388","38.86363685","-94.6317011","14","42.3","46F, light wind, dawn. Shorts and tshirt. Brief right ankle pain."
"a20160308","612","roe","Mission","20160308","4555","2183","38.8637418","-94.6351929","14","40.2","57F, cloudy, light wind. Tight toes, but no aches or pains."
"a20160312","613","stpat4M","Timed4M","20160312","6689","3114","39.05885645","-94.58731515","14","38.1","52F, cloudy. Tight toes at 30 minutes. Sore knees after finish."
"a20160314","614","miami2","Outside","20160314","7708","4328","25.7795889","-80.13024635","13","45.6","75F, cloudy, humid. No aches or pains."
"a20160316","615","miami3","Outside","20160316","4524","2430","25.79868975","-80.1254719","14","45","72F, humid, pre-dawn run. Padded little toes. No aches or pains."
"a20160319","617","keywest1","Outside","20160319","5142","2884","24.5526548","-81.80272465","14","46.7","81F, sunny, muggy. Several wrong turns. No aches or pains."
"a20160321","618","mini","Mission","20160321","2980","1472","38.8605717","-94.6285188","15","42.5","61F, sunny, windy. Sore calf muscles early, dizzy at 23 minutes. Old shoes, no joint pains."
"a20160323","619","medium","Mission","20160323","3698","1768","38.8605919","-94.6271602","15","40.6","63F, cloudy, very windy. Alternated fast/slow. New shoes were fine. No joint pains. "
"a20160326","620","r143","Mission","20160326","2830","1389","38.8636341","-94.6316913","14","42.3","54F, light wind, just after sunset. Very stiff at start. Alternated fast/slow minutes."
"a20160327","621","block","Mission","20160327","3871","1849","38.86373185","-94.6397072","14","40.4","52F, late afternoon sun, light wind. Alternated fast/slow minutes. No aches or pains."
"a20160330","622","short","Mission","20160330","3268","1644","38.8605764","-94.62852905","15","43","57F, cloudy, light wind. Slow and steady. Calves very sore at 11 minutes."
"a20160403","623","Chicago2","Outside","20160403","2789","1573","41.88591845","-87.61755185","15","48.7","30F at dawn. Only shorts and t. Very cold until 15 min. Stairs at 2 min, untied shoe at 5 min."
"a20160405","624","r143","Mission","20160405","2821","1276","38.8636336","-94.63169855","14","39","43F, sunny. Alternated fast/slow. No aches or pains. Dizzy at 18 min."
"a20160407","625","mini","Mission","20160407","3051","1383","38.8605648","-94.6285465","15","38.9","63F, sunny, very strong wind from west. Dizzy at 23 min. Alternated fast/slow."
"a20160409","626","block","Mission","20160409","3906","1814","38.86368225","-94.6397948","14","39.3","42F, sunny. Running jacket/pants, no gloves. Alternated fast/slow. No aches or pains."
"a20160411","627","short","Mission","20160411","3282","1508","38.8605818","-94.6286027","15","39.3","54F, sunny, windy. Alternated fast/slow. Sore lower calves at 15 min."
"a20160413","628","r151","Mission","20160413","1244","501","38.856819","-94.6317724","16","36.5","54F, sunny. Ran all out for as long as I could. No aches or pains."
"a20160416","629","bellcircle","Mission","20160416","10033","5179","38.8565913","-94.6396681","13","41.3","bellcircle 55F, cloudy. Slow and steady. Tight toes at 34 min, sore right hip at 42 min."
"a20160418","630","r143","Mission","20160418","2845","1483","38.8636338","-94.6316808","14","44.9","61F, drizzle then light rain. Slow and steady. Sore muscles but no joint pains."
"a20160420","631","mini","Mission","20160420","3029","1429","38.86054205","-94.62854745","15","40.5","64F, sunny. Alternated fast/slow. High right ankle pain. Dizzy at end."
"a20160423","632","block","Mission","20160423","3894","2246","38.8637285","-94.6397919","14","48.8","48F, sunny. Very slow pace to stretch and work out kinks."
"a20160424","633","trolley","Timed4M","20160424","6538","2772","39.0168007","-94.589275","12","34.8","63F, sunny. Sore ankles at start, dizzy near finish."
"a20160426","634","mini","Mission","20160426","3047","1632","38.8606034","-94.62854935","15","46","63F, rain but mostly after run. Left ankle pain during warmup, pain in both heels early."
"a20160428","635","short","Mission","20160428","3277","1745","38.8605611","-94.6285705","15","45.5","55F, sunny. Sore left heel during warmup. Right thigh cramp at 2K."
"a20160430","636","block","Mission","20160430","3983","1989","38.8638432","-94.63975815","14","42.2","61F, partly sunny, humid. Tight toes at 24 min. Right thigh cramp at 5 min. Sore left heel."
"a20160503","637","r143","Mission","20160503","2796","1418","38.8636304","-94.6316694","14","43.8","45F, dawn run. Running jacket and shorts. Alternated fast/slow. Slight twinge in left heel."
"a20160505","638","block","Mission","20160505","3931","1981","38.8637128","-94.639738","14","42.6","48F, dawn run. Block. Alternated fast/slow. T shirt. Stiff left ankle during warmup, sore at 20 min."
"a20160507","639","medium","Mission","20160507","3678","1850","38.86049915","-94.6272034","15","42.7","63F, sunny. Medium. Moderate pace. Sore left ankle during warmup, twinge in right ankle at 3 min."
"a20160517","641","short","Mission","20160517","3237","1741","38.8605975","-94.6285494","15","46","54F, partly sunny. Small loop. Very slow. Sore left ankle, also right ankle and knee, left hip."
"a20160524","642","r143","Mission","20160524","2860","1635","38.86363435","-94.63172735","14","49.3","Rain and thunder"
"a20160528","643","block","Mission","20160528","3968","2046","38.863838","-94.63976985","14","43.6","63F, partly cloudy, humid. Block. Sore left ankle early, sore right knee, achy thigh late."
"a20160530","644","Loose8K","Timed8K","20160530","8167","4053","39.0232448","-94.59747325","13","40.2","72F, sunny. Very sore ankles during warmup. Tight right toes at 3K, sore high left ankle at 4K."
"a20160601","645","r143","Mission","20160601","2822","1681","38.86364215","-94.6316892","14","51.4","64F, dawn run. R143. Sore calves during warmup, right hip pain at 2K."
"a20160605","646","sixdot","Timed6K","20160605","6225","3194","39.2777061","-76.6083391","14","42.2","73F, cloudy, humid. Left GPS on extra min. Untied shoe before 1 min, rock in shoe late. No aches."
"a20160609","647","r143","Mission","20160609","2860","1488","38.86364045","-94.63171525","14","44.8","70F, early sun. No headphones. R143. No aches or pains."
"a20160611","648","block","Mission","20160611","3893","1992","38.8636851","-94.63979655","14","43.3","70F, early sun. No headphones. R143. No aches or pains."
"a20160630","650","r143","Mission","20160630","2848","1818","38.8636351","-94.63168055","14","55","70F, early sun. No headphones. R143. No aches or pains."
"a20160702","651","block","Mission","20160702","3926","2213","38.8638381","-94.639728","14","47.7","70F, early sun. No headphones. R143. No aches or pains."
"a20160704","652","Ward4M","Timed4M","20160704","6634","3454","38.96879325","-94.6034661","14","42.7","70F, early sun. No headphones. R143. No aches or pains."
"a20160709","653","medium","Mission","20160709","3784","2238","38.860585","-94.62719825","15","50.1","75F, sunny. Very slow pace. Tired but no aches or pains."
"a20160715","654","r143","Mission","20160715","2817","1605","38.86362845","-94.6316258","14","49.1","81F, sunny. R143. No joint pains."
"a20160716","655","medium","Mission","20160716","3668","2046","38.8605897","-94.62719525","15","47.4","73F and sunny. Medium. No joint pains."
"a20160718","656","r143","Mission","20160718","2911","1576","38.8636293","-94.63172255","14","46.6","75F, humid, dawn run. Sore thigh muscles at 8 minutes."
"a20160721","657","block","Mission","20160721","3915","2171","38.86370625","-94.6397245","14","46.9","79F, dawn run, humid. Block. No aches or pains."
