"","ilog","rname","rtype","day","cdst","tim","lat","lon","zoom","ext","nt"
"a20120626","104","flat","Mission","20120626","1786","720","38.85787155","-94.6318483","15","35.7","no notes"
"a20120628","105","nobrake2","Mission","20120628","2298","1051","38.85909255","-94.6317363","15","39.9","no notes"
"a20120630","106","church","Mission","20120630","6310","3168","38.8686415","-94.6397938","13","41.3","no notes"
"a20120704","107","Ward4M","Timed4M","20120704","6634","2982","38.9688532","-94.60351855","14","36.8","no notes"
"a20120707","108","medium","Mission","20120707","3948","1742","38.8608155","-94.62712245","15","37.3","no notes"
"a20120709","109","flat","Mission","20120709","1800","674","38.85792425","-94.63176345","15","33.2","no notes"
"a20120711","110","r143","Mission","20120711","2827","1511","38.86366505","-94.6316896","14","46.1","no notes"
"a20120713","111","nobrake2","Mission","20120713","2294","1015","38.85902685","-94.6316497","15","38.6","no notes"
"a20120715","112","steeplex","Mission","20120715","6701","3373","38.86215225","-94.62645235","14","41.2","no notes"
"a20120717","113","nobrake2","Mission","20120717","2323","1031","38.8590409","-94.63179775","15","38.7","no notes"
"a20120719","114","mediumx","Mission","20120719","2983","1294","38.8608022","-94.62721735","15","37.3","no notes"
"a20120721","115","double","Mission","20120721","5393","2505","38.86082805","-94.6271528","15","38.5","no notes"
"a20120724","116","flat","Mission","20120724","1761","734","38.85789325","-94.63179805","15","37","no notes"
"a20120726","117","flat","Mission","20120726","1792","700","38.85789625","-94.6317508","15","34.6","no notes"
"a20120728","118","shortx","Mission","20120728","2094","789","38.86083655","-94.6285753","15","33.1","no notes"
"a20120731","119","SanDiego-2","outside","20120731","3125","1207","32.70777465","-117.166519","14","33.1","no notes"
"a20120801","120","SanDiego-2","outside","20120801","4036","1568","32.71283605","-117.1685631","14","32.8","no notes"
"a20120804","121","flat","Mission","20120804","1824","719","38.85792255","-94.63185355","15","34.9","no notes"
"a20120806","122","r143","Mission","20120806","2796","1215","38.8636317","-94.63169705","14","37.5","no notes"
"a20120808","123","r151","Mission","20120808","1324","486","38.85687655","-94.63171315","16","33.1","no notes"
"a20120811","124","Farmstead5K","Timed5K","20120811","5134","2176","38.87888735","-94.70914535","14","35.3","no notes"
"a20120813","125","flat","Mission","20120813","1783","747","38.85791315","-94.63177845","15","37.1","no notes"
"a20120815","126","nobrake2","Mission","20120815","2292","974","38.858969","-94.631696","15","37.1","no notes"
"a20120818","127","church","Mission","20120818","6517","2927","38.8687687","-94.6397182","13","36.8","no notes"
"a20120821","128","short","Mission","20120821","3490","1560","38.86075085","-94.62855365","15","38.1","no notes"
"a20120823","129","nobrake2","Mission","20120823","2325","997","38.8590435","-94.6316833","15","37.4","no notes"
"a20120826","130","r151","Mission","20120826","1261","477","38.85671285","-94.63162435","16","34.2","no notes"
"a20120828","131","shortx","Mission","20120828","3021","1450","38.8608641","-94.628509","15","41.2","no notes"
"a20120830","132","r143","Mission","20120830","2792","1164","38.86363615","-94.63161995","14","36","no notes"
"a20120901","133","medium","Mission","20120901","3932","1834","38.860818","-94.6269364","15","39.4","no notes"
"a20120903","134","Leawood5K","Timed5K","20120903","5161","2072","38.9273267","-94.62348495","14","33.4","no notes"
"a20120905","135","r151","Mission","20120905","1286","462","38.85678165","-94.63176735","16","32.5","no notes"
"a20120907","136","flat","Mission","20120907","1797","864","38.8578831","-94.6317666","15","42.6","no notes"
"a20120909","137","flat","Mission","20120909","1816","724","38.85791135","-94.63178705","15","35.3","no notes"
"a20120911","138","r151","Mission","20120911","1263","486","38.85677215","-94.63168915","16","34.8","no notes"
"a20120913","139","short","Mission","20120913","3467","1524","38.86085255","-94.62856275","15","37.4","no notes"
"a20120915","140","KCZoo4M","Timed4M","20120915","6531","2935","39.0045622","-94.5300087","14","36.9","no notes"
"a20120918","141","r151","Mission","20120918","1268","468","38.8568003","-94.63173845","16","33.4","no notes"
"a20120920","142","r143","Mission","20120920","2850","1187","38.86361265","-94.6316669","14","35.9","no notes"
"a20120925","143","short","Mission","20120925","3485","1622","38.86084295","-94.6285089","15","39.6","no notes"
"a20120930","201","Louisburg-1","outside","20120930","2593","1251","38.5088826","-94.67983315","15","41.8","no notes"
"a20121003","202","big","Mission","20121003","4801","2140","38.8608506","-94.62718245","15","37.2","no notes"
"a20121006","203","church","Mission","20121006","6533","2886","38.8687914","-94.6397584","13","36.2","no notes"
"a20121009","204","short","Mission","20121009","3576","1470","38.86082095","-94.6285714","15","35","no notes"
"a20121011","205","medium","Mission","20121011","3895","1660","38.86085115","-94.6271506","15","36.1","no notes"
"a20121013","206","Mustache5K","Timed5K","20121013","5092","2070","38.9212713","-94.6443555","15","33.8","no notes"
"a20121016","207","nobrake2","Mission","20121016","2370","1001","38.8590103","-94.63172855","15","36.8","no notes"
"a20121018","208","flat","Mission","20121018","1843","770","38.85797615","-94.6316982","15","37","no notes"
"a20121021","209","Louisburg-2","outside","20121021","1641","958","38.64405505","-94.6960647","16","52","no notes"
"a20121023","210","nobrake2","Mission","20121023","2307","1068","38.8590741","-94.63169045","15","40.4","no notes"
"a20121025","211","flat","Mission","20121025","1819","845","38.85794425","-94.63177865","15","41.1","no notes"
"a20121027","212","church","Mission","20121027","6520","2885","38.86868635","-94.63975555","13","36.3","no notes"
"a20121030","213","nobrake2","Mission","20121030","2339","968","38.85904905","-94.63172015","15","36.1","no notes"
"a20121101","214","r143","Mission","20121101","2873","1205","38.8636698","-94.6316254","14","36.1","no notes"
"a20121107","215","short","Mission","20121107","3531","1532","38.8608006","-94.6285529","15","36.9","no notes"
